Destination-Activities,Province,Description
Tingloy Island,Batangas,"If you're dreaming of traveling solo to a tropical oasis far away from the crowd, Tingloy is your go-to destination. Located about 7-kilometers off the southern coast of Mabini, this mountainous island is visible from Mindoro and mainland Batangas. It's thriving with green landscapes and bordered by enchanting stretch of white-sand and crystalline seas making ti a perfect place to connect with nature and replenish your energies."
Taal Heritage Town,Batangas,"Take an epic trip down memory lane and revisit a small town richly endowed with well-preserved structures and a proud heritage. Find out what makes Taal, Batangas an inspirational cornerstone and pillar of Filipino identity. Taal has a deep well of lineage and culture that will enlighten you more about the evolution of a country and its people."
Basilica of Saint Martin of Tours (Taal Basilica),Batangas,"This magnificent ‘larger than life’ historical monument is named after the patron saint of Taal, Saint Martin de Tours, whose fiesta is celebrated every November 11th. The Basilica’s size and Baroque façade is awe-inspiring. Its extraordinary structure is even more captivating with the addition of dome ceilings hand painted with intricate detail. Perhaps the most outstanding element is the illuminating altar wall made with shinning sterling silver and gold, symbolizing the sacred liberation of the tabernacle."
Sombrero Island,Batangas,"A very small island shaped like a hat, its pretty obvious how Sombrero Island got its name. A favorite side-trip spot of mountaineers trekking down from Mount Gulugod Baboy, Sombrero Island is also a popular ""stop over"" for scuba divers and other tourists from Anilao."
Sepoc Beach and Cave,Batangas,"Sepoc Beach is an ideal destination for travelers and tourists who want to unplug and spend an entire day basking in the sand, sea, and sky. This is just a 3-hour drive away from Manila, making it a perfect location for weekend warriors and leisurely endeavors like family getaways, company outings, or solo travel."
Nasugbu Beach,Batangas,"Batangas boasts coastal towns teeming with island resorts and beaches of many kinds: from fine to pebbly; from light-colored to dark-colored sand. Because of its proximity to the metro, the province enjoys the benefits of tourism these beaches have brought the towns. Nasugbu is one of the first towns in Batangas that underwent major development to accommodate the growing number of tourists. Its beaches are among those with long-established resorts that locals and tourists alike love to spend time at."
Mt. Batulao,Batangas,"Escape the hustle and bustle of Manila's crowded streets for a few hours and discover the greener side of the Philippines with this guided hike up Mount Batulao. Conveniently located in Batangas, which is only a few hours away from the metro by car, Mount Batulao has quickly become a popular summer destination for travelers who are new to trekking and mountain-climbing."
Masasa Beach,Batangas,"Masasa Beach is arguably the best beach in Tingloy, the only municipality in Batangas that is not on mainland Luzon. Its main island is the fish-shaped Maricaban, off the tip of Calumpang Peninsula separating Balayan Bay from Batangas Bay. Its crystal clear, shallow waters give off a beautiful turquoise shimmer, something that will catch your attention even from a great distance."
Burdang Taal,Batangas,"Burdang Taal is the old native hand embroidery tradition of the town of Taal, Batangas. It involves a long painstaking process from the initial gathering and drying of raw materials like pineapple and abaca fibers to weaving these fibers using a loom. Through the centuries, the women of Taal have made Burdang Taal a viable cottage industry."
Wakeboarding,Batangas,"Experience the thrill and fun of wakeboarding in Calatagan, Batangas with the pioneer wake park in the country."
"Diving, snorkeling and macrophotography",Batangas,"Anilao is brimming with marine life which makes it a world-class diving destination. But aside from diving, visitors can do snorkeling, island hopping, and hiking at Mount Gulugod Baboy. Experience the rich marine world for yourself. Meet our underwater residents, it’s more fun here."
Verde Island,Batangas,Descend into the “Center of the Center of Marine Biodiversity of the World” found at the eponymous Verde Island with its pristine clear waters and nice underwater view considered one of best diving spots in the Philippines.
Balisong Making at Taal,Batangas,"With Taal, Batangas producing some of the fiercest revolutionaries and citizens, it is befitting that Taal is also the Balisong Capital of the Philippines. Along the streets of Taal, you can see Taaleños manufacturing the knives in raw form, from the molding of metal sheets to the sharpening of knives, and the crafting of handles. Taal is definitely the place to witness balisong making and purchase one for keepsake!"
Golfing at Batangas,Batangas,Most of the golf courses dot the western side of Batangas. It is home of the most exciting golf courses as well as a plethora of sports and recreation amenities for golfers and non-golfers alike.
Dragon Boat Racing and Sailing,Batangas,"The tranquil waters of Taal Lake comes to life with dragon boat racing festivals held annually in the City of Tanauan. Dubbed by Lonely Planet as the country’s “sailing mecca” for its ideal winds all-year long, the inland body of water is spread out in several lakeshore towns in Batangas province."
People's Park in the Sky,Cavite,"Palace in the Sky remains to be the top attraction of Tagaytay. Sitting at the highest point of the city, the site provides a 360-degree view of the whole Taal Lake and Volcano and the city itself."
Sky Ranch Tagaytay,Cavite,"A leisure and entertainment park, this 5-hectare property offers exhilarating rides, dining places, horseback riding, and a fantastic view of Taal Lake. This is a place where kids and adults alike will enjoy. Aside from being family-friendly, this amusement park is also open to events and gatherings."
Pantihan Falls,Cavite,"Situated in the densely forested town in Maragondon in the province of Cavite, Balayungan is also known to the locals as “Pantihan Falls” because it is located in Brgy.Pantihan. The falls shares the same dramatic rock formations comparable to that Pico de Loro and Mt. Marami, which offers the breathing scenery."
Maragondon River,Cavite,"If you wish to get much closer to nature, this is the place for you. The Balsa River Cruise Maragondon offers a round-trip in the city's waters for 10-15 people, inclusive of food."
Maragondon Church,Cavite,"The Our Lady of the Assumption Parish Church or more commonly known as The Maragondon Church is the only heritage structure in the municipality of Maragondon and is declared by the National Museum as a National Cultural Treasure. It was established by the Jesuits under the patronage of Our Lady of The Assumption in 1618, making this church almost 4 century old."
Kawit Church,Cavite,"The Church of St. Mary Magdalene, also known as ""Kawit Church"" is the parish church of the Municipality of Kawit in the Province of Cavite. First built made of wood in 1638, it is considered one of the oldest churches in the Philippines. The construction of the current church started in 1737 and was restored in 1990. Located few meters away from the mansion of Gen. Emilio Aguinaldo, this is the church where the president of the First Philippine Republic was baptized in 1869."
Bonifacio Trial House,Cavite,The house where Bonifacio and his brother were court martialed and were sentenced to die by musketry.
Learn The Mardicas Dance,Cavite,A war dance that has become a custom in the town of Ternate.
Aguinaldo Shrine Lights Show,Cavite,"Commemorate the heroism of Caviteños this Christmas. The Aguinaldo Shrine in Kawit is among the most celebrated historical landmarks which brought 119 years of peace and freedom in the country since Philippine Independence Declaration on June 12, 1898. Take a tour at the Museo ni Emilio Aguinaldo and marvel at the Christmas Lights Show at the Freedom Park with your family and barkadas."
Unwind at the San Lazaro Leisure Park,Cavite,"San Lazaro Leisure Park is the first """"racing"""" facility in Asia. It is a 77-hectare (190 acres) prime property located in Carmona, Cavite, about 36 kilometers south of Metro Manila. The facility is managed by the Manila Jockey Club, Inc. A casino is situated at the fourth floor of the grandstand which offers a splendid view of the sprawling racetrack which can be compared to the best racing facilities in the world today."
Carmona Kart Racing Circuit,Cavite,"Situated in Carmona, this kart racing venue hosts international racing competitions from all over the world. During races, families troupe the venue who wish to experience adventure and excitement. Race are scheduled but everybody can visit the place anytime as racing karts are available for rent and try outs."
Stroll Among The Wildlife,Cavite,"The National Park declared under the National Integrated Protected Areas (NIPAS) Law is located in Ternate and Maragondon. The park covers three peaks, namely Pico de Loro, Mt. Palay-Palay and Mt. Mataas na Gulod. The park is noted for its indigenous and rare species of flora and fauna."
Soar The Blue Skies,Cavite,"Let go, ride into the wind, and experience adrenaline rush in this paragliding spot in Carmona, Cavite. Paragliding season starts as soon as Hanging Amihan (Northeast Monsoon) comes during the last week of October and ends early April."
Villa Escudero,Quezon,Experience the allure of Philippine country life at Villa Escudero Plantations and Resort. Walk through their museum which houses one of the country’s largest private collections of world antiquities. Enjoy the ‘Philippine Experience Show’ and watch the country’s cultural legacy come to life. Paddle a native bamboo raft on still waters of the river. Explore the lush surroundings and see many resident bird species along the way. Or take a dip in our pool and relax.
Tikub Lake,Quezon,"Lake Tikub (also known as Lake Ticub, Lake Ticob, Lake Tikob or Lake Ticab) is a nearly circular crater lake located in the province of Quezon, in the Philippines. The circumference of the lake is elevated and thick with foliage that steeply slopes down to the shore of the lake. The lake is located at the foot of Mount Malepunyo, and nearby is Mount Banahaw, in Brgy. Ayusan, in the town of Tiaong."
Real Surfing,Quezon,"Surfing is one of the primary tourism activities in Real, Quezon, with few surfing sites and areas available such as Real Surf and The Park."
Mount Pinagbanderahan,Quezon,"Mt. Pinagbanderahan is a historic site which literally means “where the flag was hoisted” – alluding to its significant role as a beacon where the Philippine flag was raised in the Philippine Revolution – and thereafter it witnessed the American and Japanese flags being raised in its heights before finally the Philippine flag reclaimed its proper place in 1946. The historical relevance, is therefore undeniable. At 366 MASL, it takes 1-2 hours to climb up the flight of stairs that leads to its peak."
Pagbilao,Quezon,"Nestled in the small coastal town of Pagbilao, Quezon are four tourist spots namely Borawan, Bilaran Sandbar, Kwebang lampas and Puting Buhangin which will surely entice tourists and backpackers looking for a day tour or overnight."
Pancit Habhab,Quezon,Lucban’s signature dish will complete your Quezon Province visit and you sure can find it within and around towns. Pancit Habhab is usually served on a piece of banana leaf and is meant to be eaten without the use of any utensils.
Lucban Longganisa,Quezon,"Lucban Longanisa is a popular delicacy of the town, having a strong garlicky taste – and is usually eaten with vinegar. Expect to see this hanging in every corner of the town."
Kiping,Quezon,"During Pahiyas Festival, decorations called “Kiping”, leaf-shaped and multi-colored rice paste wafers are used to decorate the facades of the homes along with the fruits and flowers from nature."
Kwebang Lagpas,Quezon,"Kwebang Lampas is a small cave with 2 openings located in Puting Buhangin, Pagbilao Grande Island. The name comes from the fact that the cave protrudes to the ocean and on high tide, it looks like the cave is “lampas na sa lupa”. It can be accessed via boat from Padre Burgos or via land from Puting Buhangin, Pagbilao."
Kamay Ni Hesus,Quezon,The Kamay ni Hesus Shrine at Lucban in Quezon is a sought-after pilgrimage destination known for its miraculous healing masses and the steep hill that leads to a majestic Risen Christ statue.
Cagbalete Island,Quezon,"Cagbalete is a hidden paradise waiting to be explored. Experience white sand, turqouise waters, and the beauty of nature on the unspoiled beaches of Cagbalete. With unique variety of birds, rich marine life, and the abundance of unique species of plants, the island is a complete paradise for adventurers and nature lovers."
Biliran Sandbar,Quezon,"Bilaran Sandbar is a long stretch of white sand bar in Pagbilao Quezon. It is believed to have been created by the waves from the meeting of Pagbilao Bay and Tayabas Bay. Today, the sandbar serves as a tourist spot overlooking Mount Banahaw, Pagbilao Bay, and Pagbilao Power Plant."
Bayong Weaving Tradition,Quezon,"Mauban is known for weaving traditional products such as finely-crafted nilala woven baskets, slippers, wallets, bags, boxes, caddies, including the traditional hat called sambalilo."
Balagbag Falls,Quezon,"Balagbag falls is a two-tiered waterfalls, is a favorite destination for locals and non-locals alike. The first level is approximately five meters high with deep natural pool ideal for cliff jumping."
Alitap Falls,Quezon,"Alitap Falls is a seven-tiered waterfalls in Barangay Alitap, a remote village of Mauban. To reach the waterfalls, you need to ride a boat that will take you to the other side of the island and then ride a motorcycle known as “habal-habal” in their place."
